fen,actions,H,U,HU,result
8/p4k2/P4P2/7p/5K1P/8/8/1q4q1 w - - 0 41,9310,,0.012995991855859756,,1/2-1/2
8/p4k2/P4P2/4K2p/3q3P/8/8/1q6 w - - 2 42,11555,,0.003424085443839431,,1/2-1/2
8/p4k2/P3KP2/3q3p/7P/8/8/1q6 w - - 4 43,14115,,0.004621831234544516,,1/2-1/2
8/p3Kk2/P4P2/4q2p/7P/8/8/1q6 w - - 6 44,16680,,0.007012710440903902,,1/2-1/2
5K2/p4k2/P3qP2/7p/7P/8/8/1q6 w - - 8 45,19520,,0.0031521832570433617,,1/2-1/2
6K1/p4k2/P4P2/3q3p/7P/8/8/1q6 w - - 10 46,19835,,0.0032255572732537985,,1/2-1/2
5K2/p4k2/P4P2/7p/7P/8/8/1q1q4 w - - 12 47,19475,,0.004844871815294027,,1/2-1/2
8/p3Kk2/P2q1P2/7p/7P/8/8/1q6 w - - 14 48,16680,,0.004734559450298548,,1/2-1/2
5K2/p4k2/P4P2/2q4p/7P/8/8/1q6 w - - 16 49,19475,,0.0032780275214463472,,1/2-1/2
8/p3Kk2/P4P2/1q5p/7P/8/8/1q6 w - - 18 50,16680,,0.004362653475254774,,1/2-1/2
5K2/p4k2/P4P2/7p/1q5P/8/8/1q6 w - - 20 51,19520,,0.0036995725240558386,,1/2-1/2
6K1/p4k2/P4P2/2q4p/7P/8/8/1q6 w - - 22 52,19835,,0.0028376453556120396,,1/2-1/2
5K2/p4k2/P1q2P2/7p/7P/8/8/1q6 w - - 24 53,19475,,0.002760282950475812,,1/2-1/2
8/p3Kk2/P2q1P2/7p/7P/8/8/1q6 w - - 26 54,16680,,0.003915477078408003,,1/2-1/2
5K2/p4k2/P2q1P2/7p/7P/8/1q6/8 w - - 28 55,19485,,0.0030335187911987305,,1/2-1/2
8/p4kK1/P4P2/4q2p/7P/8/1q6/8 w - - 30 56,17310,,0.0063558099791407585,,1/2-1/2
5K2/p4k2/P4P2/3q3p/7P/8/1q6/8 w - - 32 57,19520,,0.0030595867428928614,,1/2-1/2
6K1/p4k2/P2q1P2/7p/7P/8/1q6/8 w - - 34 58,19805,,0.002643633633852005,,1/2-1/2
8/p4k1K/P2q1P2/7p/7P/8/q7/8 w - - 36 59,17635,,0.0028109124395996332,,1/2-1/2
1q5K/p4k2/P4P2/7p/7P/8/q7/8 w - - 38 60,20115,,0.0024562347680330276,,1/2-1/2
8/p4kK1/P4P2/1q5p/7P/8/q7/8 w - - 40 61,17240,,0.003443696303293109,,1/2-1/2
1q6/p4k2/P4PK1/7p/7P/8/q7/8 w - - 42 62,14755,,0.00299360160715878,,1/2-1/2
2q5/p4kK1/P4P2/7p/7P/8/q7/8 w - - 44 63,17240,,0.0033387281000614166,,1/2-1/2
8/p4k2/P4PK1/7p/7P/8/q7/2q5 w - - 46 64,14755,,0.005501429550349712,,1/2-1/2
8/p4kK1/P4P2/7p/2q4P/8/q7/8 w - - 48 65,17310,,0.0033750778529793024,,1/2-1/2
5K2/p4k2/P4P2/7p/2q4P/8/4q3/8 w - - 50 66,19485,1.3696261644363403,0.0019568761344999075,0.0026801887543721203,1/2-1/2
8/p4kK1/P4P2/7p/7P/3q4/4q3/8 w - - 52 67,17315,1.320953130722046,0.006506696809083223,0.00859504152061763,1/2-1/2
6K1/p4k2/P4P2/7p/6qP/3q4/8/8 w - - 54 68,19800,1.0078561305999756,0.0022666624281555414,0.002284469624217189,1/2-1/2
8/p4kK1/P4P2/6qp/7P/3q4/8/8 w - - 56 69,17310,1.0202218294143677,0.0030291073489934206,0.003090361441082573,1/2-1/2
5K2/p4k2/P4P2/4q2p/7P/3q4/8/8 w - - 58 70,19485,1.2142024040222168,0.0015022569568827748,0.0018240440085061649,1/2-1/2
6k1/p5K1/P4P2/4q2p/7P/3q4/8/8 w - - 60 71,17245,1.637716293334961,0.001611964893527329,0.002639941170413662,1/2-1/2
6k1/p7/P6K/7p/7P/3q4/8/8 w - - 0 72,15070,0.4469739496707916,0.004144824109971523,0.0018526284031246953,1/2-1/2
6k1/p5K1/P7/7p/3q3P/8/8/8 w - - 2 73,17280,0.9296443462371826,0.005769602954387665,0.005363678766579838,1/2-1/2
6k1/p6K/Pq6/7p/7P/8/8/8 w - - 4 74,17595,0.5365805625915527,0.005159405991435051,0.0027684369695224476,1/2-1/2
6k1/p5K1/P1q5/7p/7P/8/8/8 w - - 6 75,17310,1.0875248908996582,0.003395365085452795,0.0036925440441215596,1/2-1/2
5Kk1/p1q5/P7/7p/7P/8/8/8 w - - 8 76,19480,0.8850764632225037,0.0030824115965515375,0.0027281699540718657,1/2-1/2
6k1/p4K2/P1q5/7p/7P/8/8/8 w - - 10 77,16960,0.7058179974555969,0.004423160571604967,0.0031219463370747713,1/2-1/2
4q1k1/p5K1/P7/7p/7P/8/8/8 w - - 12 78,17320,1.4075572490692139,0.003556994954124093,0.005006674032579983,1/2-1/2
4q2K/p5k1/P7/7p/7P/8/8/8 w - - 14 79,20120,0.68804931640625,0.0026204893365502357,0.0018030258966632573,1/2-1/2
4q3/p6K/P4k2/7p/7P/8/8/8 w - - 16 80,17595,0.515338659286499,0.002235198160633445,0.0011518840233404881,1/2-1/2
4q3/p4kK1/P7/7p/7P/8/8/8 w - - 18 81,17315,1.4827299118041992,0.002766842022538185,0.004102479428054195,1/2-1/2
4q1K1/p7/P4k2/7p/7P/8/8/8 w - - 20 82,19795,0.8437119722366333,0.0034841755405068398,0.0029396406168996636,1/2-1/2
4q3/p4K2/P7/5k1p/7P/8/8/8 w - - 22 83,16920,1.097855806350708,0.0026791775599122047,0.002941350640394136,1/2-1/2
4q3/p7/P4K2/7p/4k2P/8/8/8 w - - 24 84,14355,1.1609175205230713,0.0022598777431994677,0.0026235316663204,1/2-1/2
4q3/p7/P7/4K2p/5k1P/8/8/8 w - - 26 85,11520,1.5155504941940308,0.0028912692796438932,0.004381864585612322,1/2-1/2
8/p7/P7/4qK1p/5k1P/8/8/8 w - - 28 86,11880,0.9826480746269226,0.0032941370736807585,0.0032369774530095624,1/2-1/2
8/p7/P5K1/4qk1p/7P/8/8/8 w - - 30 87,14760,0.9876708984375,0.002253658836707473,0.0022258732480224808,1/2-1/2
8/p6K/P5k1/4q2p/7P/8/8/8 w - - 32 88,17595,0.6190651655197144,0.0025513723958283663,0.0015794657745259177,1/2-1/2
8/p5K1/P5k1/7p/4q2P/8/8/8 w - - 34 89,17275,1.436124563217163,0.0026149151381105185,0.003755343860568916,1/2-1/2
8/p4K2/P5k1/7p/5q1P/8/8/8 w - - 36 90,16960,1.2521600723266602,0.0033130785450339317,0.004148504670573594,1/2-1/2
8/p5K1/P6k/7p/5q1P/8/8/8 w - - 38 91,17240,1.00846529006958,0.002829927485436201,0.002853883642476296,1/2-1/2
8/p7/P4qKk/7p/7P/8/8/8 w - - 40 92,14755,0.7608672976493835,0.0030945399776101112,0.002354534270232189,1/2-1/2
8/p4qK1/P6k/7p/7P/8/8/8 w - - 42 93,17280,0.8639953136444092,0.004160184413194656,0.0035943798368966995,1/2-1/2
8/p6K/P4q1k/7p/7P/8/8/8 w - - 44 94,17595,0.5956411361694336,0.00322342524304986,0.0019200046741274512,1/2-1/2
8/p4qK1/P6k/7p/7P/8/8/8 w - - 46 95,17280,0.9028074741363525,0.0038648659829050303,0.003489229895902002,1/2-1/2
8/p6K/P4q1k/7p/7P/8/8/8 w - - 48 96,17630,0.6500940322875977,0.003370407735928893,0.0021910819555033267,1/2-1/2
6K1/p6k/P4q2/7p/7P/8/8/8 w - - 50 97,19840,0.6925522685050964,0.004566975403577089,0.0031628691759542915,1/2-1/2
7K/p5qk/P7/7p/7P/8/8/8 w - - 52 98,20155,-0.0,0.0015574146527796984,-0.0,1/2-1/2
6K1/p5q1/P5k1/7p/7P/8/8/8 w - - 54 99,19805,0.6833547949790955,0.002474493347108364,0.0016909568938903718,1/2-1/2
8/p5qK/P7/5k1p/7P/8/8/8 w - - 56 100,17555,-0.0,0.0016909062396734953,-0.0,1/2-1/2
8/p5q1/P5K1/7p/4k2P/8/8/8 w - - 58 101,14675,-0.0,0.0015133965061977506,-0.0,1/2-1/2
8/p7/P5q1/5K1p/4k2P/8/8/8 w - - 60 102,11835,0.3917059898376465,0.003549897810444236,0.0013905162356625533,1/2-1/2
8/p7/P4q2/4K2p/4k2P/8/8/8 w - - 62 103,11515,1.2872511148452759,0.0013207263546064496,0.0017001064723726894,1/2-1/2
8/p7/P3q3/3K3p/4k2P/8/8/8 w - - 64 104,11200,0.7532247304916382,0.0016572102904319763,0.0012482517743785948,1/2-1/2
8/p7/P3q3/4K2p/3k3P/8/8/8 w - - 66 105,11515,0.8662954568862915,0.0018052100203931332,0.001563845239392181,1/2-1/2
8/p7/P3q3/3K3p/7P/2k5/8/8 w - - 68 106,11155,0.6741319298744202,0.0016880077309906483,0.0011379399093356668,1/2-1/2
8/p7/P3q3/7p/2Kk3P/8/8/8 w - - 70 107,8285,0.9514288306236267,0.0012827370082959533,0.0012204329718006682,1/2-1/2
8/p7/P7/7p/3kq2P/3K4/8/8 w - - 72 108,6075,1.00514817237854,0.0012402657885104418,0.0012466508905848994,1/2-1/2
8/p7/P7/4k2p/4q2P/2K5/8/8 w - - 74 109,5800,1.1941454410552979,0.0024313004687428474,0.00290332637058488,1/2-1/2
8/p7/P7/3qk2p/3K3P/8/8/8 w - - 76 110,8640,1.0655717849731445,0.001446671667508781,0.0015415325110174072,1/2-1/2
8/p7/P7/3q3p/4Kk1P/8/8/8 w - - 78 111,8925,1.1652939319610596,0.0012166190426796675,0.0014177187879428899,1/2-1/2
8/p7/P1q5/7p/5k1P/5K2/8/8 w - - 80 112,6760,1.3763854503631592,0.0012127170339226723,0.0016691660808987319,1/2-1/2
8/pq6/P7/7p/5kKP/8/8/8 w - - 82 113,9630,1.0025726556777954,0.002771795727312565,0.0027789266033281246,1/2-1/2
8/pq6/P7/5K1p/7P/5k2/8/8 w - - 84 114,11800,2.0507328510284424,0.002376902848482132,0.004874392755085388,1/2-1/2
8/p7/P7/7p/5K1P/1q3k2/8/8 w - - 86 115,9235,1.5605695247650146,0.0014840419171378016,0.0023159505893591004,1/2-1/2
8/p7/P7/7p/1q5P/4Kk2/8/8 w - - 88 116,6440,1.462486743927002,0.0011026852298527956,0.0016126625313838128,1/2-1/2
8/p7/P7/7p/1q3K1P/8/5k2/8 w - - 90 117,9240,1.4916627407073975,0.0010395831195637584,0.0015507074053216219,1/2-1/2
8/p7/P7/2q4p/7P/5K2/5k2/8 w - - 92 118,6755,1.4799288511276245,0.0011955831432715058,0.0017693779876493537,1/2-1/2
8/p7/P7/3q3p/5K1P/8/5k2/8 w - - 94 119,9245,0.7183877229690552,0.0009484363836236298,0.0006813450540123847,1/2-1/2
8/p7/P1q5/7p/7P/6K1/5k2/8 w - - 96 120,7005,1.371164083480835,0.0011890563182532787,0.001630391316824853,1/2-1/2
8/p7/P1q5/7p/7P/4k3/7K/8 w - - 98 121,4755,0.510617196559906,0.0021178924944251776,0.0010814323281186505,1/2-1/2
8/p7/P1q5/7p/3k3P/8/8/6K1 w - - 100 122,1915,1.0726196765899658,0.0037878924049437046,0.004062967926348304,1/2-1/2
8/p7/P1q5/7p/2k4P/8/8/5K2 w - - 102 123,1600,1.1865980625152588,0.0026677099522203207,0.003165499460657306,1/2-1/2
8/p7/P1q5/7p/7P/1k6/8/6K1 w - - 104 124,1915,1.0194413661956787,0.0028107846155762672,0.0028654301085848655,1/2-1/2
8/p7/P1q5/7p/7P/8/2k5/5K2 w - - 106 125,1595,1.2214545011520386,0.001966468757018447,0.0024019521146350364,1/2-1/2
8/p7/P1q5/7p/7P/8/3k4/4K3 w - - 108 126,1320,0.8894926309585571,0.001071140286512673,0.0009527713915758601,1/2-1/2
8/p7/P1q5/7p/7P/4k3/5K2/8 w - - 110 127,4115,1.628523349761963,0.0008143425220623612,0.0013261758118826017,1/2-1/2
8/p7/P1q5/7p/7P/8/3k4/4K3 w - - 112 128,1320,0.8842536211013794,0.0010103381937369704,0.0008933952063489431,1/2-1/2
8/p7/P7/3q3p/7P/8/3k1K2/8 w - - 114 129,4125,1.6034972667694092,0.0009247377165593207,0.0014828144009814553,1/2-1/2
8/p7/P1q5/7p/7P/8/3k4/6K1 w - - 116 130,1960,0.9792537093162537,0.0032706158235669136,0.003202762676976334,1/2-1/2
8/p7/P7/7p/2q4P/8/3k3K/8 w - - 118 131,4760,1.3078742027282715,0.0016266398597508669,0.0021274403096976924,1/2-1/2
8/p7/P7/7p/2q4P/4k3/8/7K w - - 120 132,2270,1.0848904848098755,0.0017905347049236298,0.001942534064093504,1/2-1/2
8/p7/P7/7p/2q4P/5k2/6K1/8 w - - 122 133,4445,1.305314302444458,0.0007982022943906486,0.0010419048711120954,1/2-1/2
8/p7/P7/7p/2q4P/8/6k1/7K w - - 124 134,2235,0.6837863922119141,0.001356415101327002,0.0009274981884781486,1/2-1/2
8/p7/P1q5/7p/7P/8/6k1/6K1 w - - 126 135,1915,0.8526540398597717,0.001565382000990212,0.0013347292870680774,1/2-1/2
8/p7/P7/7p/7P/8/2q3k1/5K2 w - - 128 136,1595,1.0130807161331177,0.0017772666178643703,0.0018005145379855203,1/2-1/2
8/p7/P7/7p/7P/8/4q1k1/4K3 w - - 130 137,1320,0.6931295394897461,0.0012295674532651901,0.0008522495226532811,1/2-1/2
8/p7/P7/7p/7P/6k1/4qK2/8 w - - 132 138,4125,0.8732608556747437,0.0014523811405524611,0.0012683075975647023,1/2-1/2
8/p7/P7/7p/7P/8/4q2k/6K1 w - - 134 139,1955,0.04075201228260994,0.0016467358218505979,6.710779843826934e-05,1/2-1/2
8/p7/P7/7p/7P/6k1/4q1K1/8 w - - 136 140,4520,1.2504373788833618,0.0009464426548220217,0.0011834672725590592,1/2-1/2
8/p7/P7/7p/7P/6kK/6q1/8 w - - 138 141,7390,0.690636396408081,0.0012042943853884935,0.000831729534539194,1/2-1/2
8/p7/P7/7p/6KP/5k2/6q1/8 w - - 140 142,9630,0.8599135279655457,0.0010077361948788166,0.0008665659865968178,1/2-1/2
8/p7/P7/5K1p/6kP/8/6q1/8 w - - 142 143,11880,1.3275634050369263,0.001390765537507832,0.0018463294325819085,1/2-1/2
8/p7/P5K1/7p/6kP/8/5q2/8 w - - 144 144,14760,1.1550480127334595,0.0008554385858587921,0.0009880726386117186,1/2-1/2
8/p6K/P7/7p/6kP/8/6q1/8 w - - 146 145,17630,1.2021098136901855,0.0011379299685359001,0.0013679167824691696,1/2-1/2
6K1/p7/P7/7p/6kP/8/8/6q1 w - - 148 146,19800,1.2944118976593018,0.0012357811210677028,0.0015996097860127845,1/2-1/2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.6378368735313416,0.0053713759407401085,0.0034260616366031393,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,400,1.3388937711715698,0.0059864032082259655,0.008015157967215247,1-0
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,4555,,0.008707353845238686,,1-0
rnbqkb1r/pppp2pp/4pp1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R w KQkq - 0 4,5830,,0.007367599289864302,,1-0
rnbqk2r/pppp2pp/4pp1n/1N6/1b4P1/5N2/PPPPPP1P/R1BQKB1R w KQkq - 2 5,3235,,0.009499259293079376,,1-0
rnbqk2r/pp1p2pp/2p1pp1n/1N6/1b4P1/2P2N2/PP1PPP1P/R1BQKB1R w KQkq - 0 6,10640,,0.009716000407934189,,1-0
rnbq1k1r/ppNp2pp/2p1pp1n/8/1b4P1/2P2N2/PP1PPP1P/R1BQKB1R w KQ - 2 7,16045,,0.010885581374168396,,1-0
rnbqNk1r/pp1p3p/2p1pppn/8/1b4P1/2P2N2/PP1PPP1P/R1BQKB1R w KQ - 0 8,3595,,0.010483074933290482,,1-0
rnbqNk1r/pp5p/2pppppn/8/1b1P2P1/2P2N2/PP2PP1P/R1BQKB1R w KQ - 0 9,6800,,0.008728927932679653,,1-0
rnbqNk1r/pp5p/2ppppp1/8/1b1P4/2P5/PP2PP1P/R1BQKB1R w KQ - 0 10,860,,0.007497748360037804,,1-0
rnbqN1kr/pp5p/2pppppB/8/1b1P4/2P5/PP2PP1P/R2QKB1R w KQ - 2 11,15070,,0.007409702520817518,,1-0
r1bqN1kr/pp4Bp/n1ppppp1/8/1b1P4/2P5/PP2PP1P/R2QKB1R w KQ - 4 12,17320,,0.007162473630160093,,1-0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.6378368735313416,0.0053713759407401085,0.0034260616366031393,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,3875,1.3388937711715698,0.0059864032082259655,0.008015157967215247,1-0
rnbqkbnr/ppp1p1pp/5p2/3p4/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,6800,0.5357980728149414,0.006118823308497667,0.003278453736588194,1-0
rnbqkbnr/ppp1p1pp/8/3p4/8/4P3/PPPP1PPP/RNBQKB1R w KQkq - 0 4,1135,,0.006901554763317108,,1-0
rnbqkbnr/ppp1p2p/6p1/3p3Q/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 0 5,12465,0.002906365320086479,0.006355418357998133,1.847116751032673e-05,1-0
rn1qkbnr/ppp1p2p/4b1p1/3pQ3/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 2 6,400,0.879889965057373,0.006606335751712322,0.0058128485337314295,1-0
rn1qkbnr/p1p1p2p/4b1p1/1p1pQ3/8/2N1P3/PPPP1PPP/R1B1KB1R w KQkq - 0 7,1735,1.0141526460647583,0.010861658491194248,0.011015379699496397,1-0
rn1qkbnr/2p1p2p/p3b1p1/3pQ3/8/2N1P3/PPPP1PPP/R1B1K2R w KQkq - 0 8,2915,1.1092231273651123,0.010524812154471874,0.011674365052913638,1-0
rn1qkbnr/4p2p/p3b1p1/2ppQ3/8/1PN1P3/P1PP1PPP/R1B1K2R w KQkq - 0 9,705,1.3804281949996948,0.01067260280251503,0.014732761822624507,1-0
rn1qkb1r/4p2p/p3bnp1/2ppQ3/8/BPN1P3/P1PP1PPP/R3K2R w KQkq - 2 10,4195,1.3726898431777954,0.011606586165726185,0.015932242943660246,1-0
rn1qk2r/4p1bp/p3bnp1/2ppQ3/8/BPN1PP2/P1PP2PP/R3K2R w KQkq - 1 11,3595,0.4827001094818115,0.010056039318442345,0.004854051279965521,1-0
rn2k2r/4p1bp/p3bnp1/q1ppQ3/3P4/BPN1PP2/P1P3PP/R3K2R w KQkq - 1 12,8670,,0.015734875574707985,,1-0
r3k2r/3np1bp/p3bnp1/q2pQ3/8/BPN1PP2/P1P3PP/R3K2R w KQkq - 1 13,5295,1.4394243955612183,0.010003696195781231,0.014399564349990457,1-0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.6378368735313416,0.0053713759407401085,0.0034260616366031393,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,400,1.3388937711715698,0.0059864032082259655,0.008015157967215247,1-0
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,4555,,0.008707353845238686,,1-0
rnbqkb1r/pp1pp1pp/2p2p1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R w KQkq - 0 4,3595,,0.007396444212645292,,1-0
rnbqkb1r/pp1p2pp/2p1pp1n/8/3P2P1/2N2N2/PPP1PP1P/R1BQKB1R w KQkq - 0 5,3915,,0.011174142360687256,,1-0
rnbqk2r/pp1p2pp/2p1pp1n/8/1b1PP1P1/2N2N2/PPP2P1P/R1BQKB1R w KQkq - 1 6,6800,,0.009584642946720123,,1-0
rnbqk2r/pp1p2pp/2p1p2n/5pN1/1b1PP1P1/2N5/PPP2P1P/R1BQKB1R w KQkq - 0 7,4875,,0.008151085115969181,,1-0
rnbqk2r/pp1p2pp/2p1p2n/8/1b1PP2P/2N5/PPP2P2/R1BQKB1R w KQkq - 0 8,1135,,0.003876917064189911,,1-0
rnbqk2r/pp1p3p/2p1p1pn/7Q/1b1PP2P/2N5/PPP2P2/R1B1KB1R w KQkq - 0 9,12475,,0.005148037802428007,,1-0
rnbq1rk1/pp1p3p/2p1p1pn/6Q1/1b1PP2P/2N5/PPP2P2/R1B1KB1R w KQ - 2 10,4195,0.09579624235630035,0.00957407895475626,0.0009171607878881854,1-0
rnb2rk1/pp1p3p/2p1pqpn/6Q1/1b1PP2P/2N2P2/PPP5/R1B1KB1R w KQ - 1 11,12195,,0.006699495017528534,,1-0
rnb2rk1/pp1p4/2p1p2p/8/1b1PP2P/2N2P2/PPP5/R1B1KB1R w KQ - 0 12,2235,,0.0029510960448533297,,1-0
rnb2r2/pp1p1k2/2p1p2p/8/1b1PP2P/2N2P2/PPP5/R1B1KBR1 w Q - 2 13,2155,,0.004690305329859257,,1-0
rnb2r2/pp1p2R1/2p1pk1p/8/1b1PP2P/2N2P2/PPP5/R1B1KB2 w Q - 4 14,17240,,0.004472746048122644,,1-0
rnb2r2/pp1p1k2/2p1p1Rp/8/1b1PP2P/2N2P2/PPP5/R1B1KB2 w Q - 6 15,14795,,0.0025036765728145838,,1-0
rnb2rR1/pp3k2/2p1p2p/3p4/1b1PP2P/2N2P2/PPP5/R1B1KB2 w Q - 0 16,19800,,0.008373313583433628,,1-0
rnb2r2/pp4R1/2p1pk1p/3p4/1b1PP2P/2N2P2/PPP5/R1B1KB2 w Q - 2 17,815,,0.005752087105065584,,1-0
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,16920,0.36322492361068726,0.0028354767709970474,0.0010299158335452807,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,16600,0.6973479986190796,0.00460234098136425,0.0032094332723169305,1-0
rnbqkbnr/pppp2pp/4pp2/8/3N4/4P3/PPPP1PPP/RNBQKB1R b KQkq - 1 3,17240,1.1029413938522339,0.0018796161748468876,0.0020731064837928304,1-0
rnbqkbnr/pppp3p/4ppp1/1N6/8/4P3/PPPP1PPP/RNBQKB1R b KQkq - 1 4,19340,,0.0046373638324439526,,1-0
rnbqk1nr/pppp3p/4ppp1/1N6/1b6/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 0 5,15960,,0.00502255791798234,,1-0
rnbqk1nr/ppNp3p/2p1ppp1/8/1b6/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 1 6,19200,,0.009166765958070755,,1-0
rnbq1knr/ppNp3p/2p1ppp1/8/1b1P4/2P1P3/PP3PPP/RNBQKB1R b KQ - 0 7,16240,,0.0049415999092161655,,1-0
rnbq1knr/ppN4p/2p1ppp1/3p4/1b1PP3/2P5/PP3PPP/RNBQKB1R b KQ - 0 8,17560,,0.004457056988030672,,1-0
rnbq1knr/ppN5/2p1pppp/3p4/1b1PP3/N1P5/PP3PPP/R1BQKB1R b KQ - 1 9,7955,,0.0030752993188798428,,1-0
rnbq1knr/ppN5/2p1pppp/3p4/3PP2P/2P5/PP3PP1/R1BQKB1R b KQ - 0 10,15600,,0.00533360056579113,,1-0
rnbq1knr/p1N5/2p1pppp/1p1p4/1P1PP2P/2P5/P4PP1/R1BQKB1R b KQ - 0 11,18155,,0.005012148525565863,,1-0
r1bq1knr/p1N5/n1p1pppp/1p1pP3/1P1P3P/2P5/P4PP1/R1BQKB1R b KQ - 0 12,14360,,0.003197596874088049,,1-0
r1bq1knr/p1N5/n1p1p1pp/1p1pPp2/1P1P1P1P/2P5/P5P1/R1BQKB1R b KQ - 0 13,17920,,0.0029009205754846334,,1-0
1rbq1knr/p1N5/n1p1p1pp/1p1pPp2/PP1P1P1P/2P5/6P1/R1BQKB1R b KQ - 0 14,10515,,0.003335949731990695,,1-0
1rbq1knr/p1N5/n1p1p1pp/1P1pPp2/3P1P1P/2P5/6P1/R1BQKB1R b KQ - 0 15,12770,,0.003003370715305209,,1-0
1rbq1knr/p1N5/2p1p1pp/1PnpPp2/3P1P1P/2PB4/6P1/R1BQK2R b KQ - 2 16,10795,,0.0025597799103707075,,1-0
1rbq1knr/p1N5/2p1p1pp/1P1pPp2/3P1P1P/BnPB4/6P1/R2QK2R b KQ - 4 17,13400,,0.002843777183443308,,1-0
1rbq1knr/p1N5/4p1pp/1P1pPp2/5P1P/BnPB4/6P1/R2QK2R b KQ - 0 18,5520,,0.003359051188454032,,1-0
1rbq1knr/p1N5/4p1pp/1PnpPp2/5P1P/B1PB4/6P1/R2Q1RK1 b - - 2 19,19790,,0.001951380167156458,,1-0
1rbq1k1r/p1N1n3/4p1pp/1PnpPp2/5P1P/B1PB2P1/8/R2Q1RK1 b - - 0 20,10795,,0.0022859389428049326,,1-0
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,16920,0.36322492361068726,0.0028354767709970474,0.0010299158335452807,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,16600,0.6973479986190796,0.00460234098136425,0.0032094332723169305,1-0
rnbqkbnr/pppp2pp/4pp2/8/8/3BPN2/PPPP1PPP/RNBQK2R b KQkq - 1 3,17240,0.9982495307922363,0.0031427631620317698,0.003137261851889339,1-0
rnbqkbnr/pppp3p/4ppp1/8/7N/3BP3/PPPP1PPP/RNBQK2R b KQkq - 1 4,19340,,0.004116781521588564,,1-0
rnbqk1nr/pppp3p/4ppp1/8/1b5N/2PBP3/PP1P1PPP/RNBQK2R b KQkq - 0 5,14360,1.4048727750778198,0.002598310587927699,0.003650295806176068,1-0
rnbqk1nr/pppp3p/4p1p1/5p2/1b6/2PBPN2/PP1P1PPP/RNBQK2R b KQkq - 1 6,19755,1.920291543006897,0.002625203924253583,0.005041156894412674,1-0
rnbqk2r/pppp3p/4pnp1/4Np2/1b6/2PBP3/PP1P1PPP/RNBQK2R b KQkq - 3 7,16240,0.6401269435882568,0.0025185670237988234,0.0016122026111665133,1-0
rnbqk2r/ppp2N1p/4pnp1/3p1p2/1b6/2PBP3/PP1P1PPP/RNBQK2R b KQkq - 1 8,19205,1.3490679264068604,0.0042112055234611034,0.005681202303208788,1-0
rn3rk1/ppp4p/4pnp1/3p1p2/1b6/2PBP3/PP1P1PPP/RNBQK2R b KQ - 0 9,14315,,0.003482922213152051,,1-0
rn3rk1/ppp4p/4p1p1/3p1p2/1b6/2P1P3/PP1P1PPP/RNBQK2R b KQ - 0 10,18165,,0.0026289718225598335,,1-0
r4rk1/ppp4p/2n1p1p1/3p1p2/1b1P4/2P1P3/PP3PPP/RNBQK2R b KQ - 0 11,11800,,0.001989927841350436,,1-0
r4rk1/ppp4p/2n1p1p1/3p4/1b1P1p2/2P1PP2/PP4PP/RNBQK2R b KQ - 0 12,9235,1.122365951538086,0.0034236458595842123,0.0038425835429216626,1-0
r4rk1/ppp4p/2n1p1pB/3p4/1b1P4/2P2P2/PP4PP/RN1QK2R b KQ - 1 13,19515,,0.0030239135958254337,,1-0
r3r1k1/ppp4p/2n1p1pB/3p4/1b1P4/2P2P2/PP4PP/RN1Q1RK1 b - - 3 14,14040,,0.0016621078830212355,,1-0
r3r1k1/ppp4p/2n3pB/3pp3/1b1P4/2P2P1P/PP4P1/RN1Q1RK1 b - - 0 15,11480,,0.0028469348326325417,,1-0
