fen,actions,H,U,HU,result
rnbqk1nr/pppp2pp/4p3/1N3p2/1b6/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 1 5,18740,,0.002986426930874586,,0-1
rnb1k1nr/pppp2pp/4p3/1N3p2/1b5q/2P1P1P1/PP1P1P1P/RNBQKB1R b KQkq - 0 6,19755,0.51341313123703,0.004010758828371763,0.002059176248710909,0-1
rnb1k2r/pppp2pp/4pn2/1N3p2/1b5q/2PPP1P1/PP3P1P/RNBQKB1R b KQkq - 0 7,9955,0.9994394779205322,0.0037800173740833998,0.0037778985908844542,0-1
rnb1k2r/pppp2pp/4pn2/1N3p1q/1b6/2PPPPP1/PP5P/RNBQKB1R b KQkq - 0 8,15320,1.696899652481079,0.0021888401824980974,0.0037142421450176433,0-1
r3k2r/1p1p2pp/p3pn2/5p1q/1b6/2PPPPP1/PP5P/RNBQKB1R b KQkq - 0 9,11800,2.2015156745910645,0.002464014571160078,0.005424566700829692,0-1
r3k2r/1p1p2pp/p3pn2/7q/1b3p1P/2PPPPP1/PP6/RNBQKB1R b KQkq - 0 10,9245,1.861640453338623,0.003106143558397889,0.00578252250219069,0-1
r3k2r/1p1p2pp/p3pn2/7q/1b5P/2PPPP2/PP6/RNBQKBR1 b Qkq - 1 11,14350,2.347658634185791,0.002652783878147602,0.006227830976162085,0-1
r3k2r/1p1p2pp/p3p1R1/3n3q/1b5P/2PPPP2/PP6/RNBQKB2 b Qkq - 3 12,17555,1.8648263216018677,0.005413637962192297,0.010095494567519292,0-1
r3k2r/1p1p2p1/p3p3/3n4/1b5P/2PPPP1B/PP6/RNBQK3 b Qkq - 1 13,17240,2.402458906173706,0.0019209107849746943,0.004614909223327579,0-1
r3k2r/1p1p4/p3p1p1/3n4/1b5P/N1PPPP1B/PP6/R1BQK3 b Qkq - 1 14,14680,,0.0032316921278834343,,0-1
r3k2r/1p1p4/p3p3/3n2pP/1b6/N1PPPP1B/PP6/R1BQK3 b Qkq - 0 15,12120,0.5049824714660645,0.00326309772208333,0.0016478071523329252,0-1
r3k2r/1p1p4/p3p3/3n3P/1b6/N1PPPP2/PP6/R1BQK3 b Qkq - 0 16,20155,,0.003150356002151966,,0-1
r3k1r1/1p1p4/p3p3/1N1n3P/1b6/2PPPP2/PP6/R1BQK3 b Qq - 2 17,19560,,0.0026938170194625854,,0-1
r3k3/1p1p4/p3p3/1N1n3P/1b6/2PPPP2/PP3K2/R1BQ2r1 b q - 4 18,1915,,0.0024829679168760777,,0-1
r3k3/1p1p4/p3p3/1N1n3P/1b6/2PPPPK1/PP6/R1BQ1r2 b q - 6 19,1675,,0.0058807795867323875,,0-1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.5787658095359802,0.005506695248186588,0.0031870869331846463,0-1
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,3875,,0.00623099273070693,,0-1
rnbqkbnr/ppp1p1pp/5p2/3p4/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,6800,0.5366520881652832,0.006357004400342703,0.0034114996859198055,0-1
rnbqkbnr/ppp1p1pp/8/3p4/8/4P3/PPPP1PPP/RNBQKB1R w KQkq - 0 4,1135,,0.007173425983637571,,0-1
rnbqkbnr/ppp1p2p/6p1/3p3Q/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 0 5,12465,,0.006462799850851297,,0-1
rn1qkbnr/ppp1p2p/4b1p1/3pQ3/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 2 6,11585,,0.006809275131672621,,0-1
r3kbnr/p3p2p/4b1p1/1p1p4/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 0 7,400,,0.009911807253956795,,0-1
