min_n,positions,weighted_mean_reward,between_position_variance,within_position_variance,total_variance,eta_position,fraction_unexplained
5,1183,0.24025226055405172,0.033957445872331765,0.7946025780347565,0.8285600239070883,0.040983688438412554,0.9590163115615874
10,540,0.24090953641085952,0.020186927115687096,0.8090963908138866,0.8292833179295738,0.024342618112814195,0.9756573818871858
20,264,0.2399002122351715,0.012540950054134699,0.8177574054051046,0.8302983554592392,0.015104148974495175,0.9848958510255048
50,100,0.2342478280749886,0.007304940141143583,0.8280379211652962,0.8353428613064398,0.008744840567283925,0.991255159432716
100,43,0.23626404028108225,0.003855717729101629,0.832040511341876,0.8358962290709776,0.004612675108472385,0.9953873248915276
200,17,0.23852582545554188,0.0017802250445371143,0.836516327617732,0.8382965526622691,0.002123622051031298,0.9978763779489687
