fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean,H_count,U_count,HU_count,H_fraction,U_fraction,HU_fraction
rnbqkb1r/pp1p2pp/2p1p2n/8/3P4/2N4P/PPP1PPP1/R1BQKB1R w KQkq - 0 6,19,15,4,0,0.7894736842105263,0.21052631578947367,0.0,0.7894736842105263,0.16620498614958445,0.7424875695421236,0.6061606631541253,0.9727867052669273,0.36662604211280203,False,,0.007532839932920117,,0,19,0,0.0,1.0,0.0
rnb1kb1r/pp1p2pp/2p1pq1n/6B1/3P4/2N4P/PPP1PPP1/R2QKB1R w KQkq - 2 7,18,14,4,0,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.1728395061728395,0.7642045065086203,0.5857193599356953,0.9698361956198602,0.3841168356841649,False,,0.02123341492066781,,0,18,0,0.0,1.0,0.0
rnbqk1nr/pppp2pp/8/4ppN1/1b6/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 0 4,11,5,3,3,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.6942148760330579,1.5394847569315018,-0.31055989344459733,0.674196257080961,0.9847561505255583,True,1.2947957515716553,0.012838666242631998,0.017477041616911326,3,11,3,0.2727272727272727,1.0,0.2727272727272727
rnb1k2r/pppp3p/4p1p1/1N3p2/1b6/2N1P3/PPPP2PP/R1B1KB1R b KQkq - 0 9,11,3,1,7,0.2727272727272727,0.09090909090909091,0.6363636363636364,-0.36363636363636365,0.7768595041322314,1.2406705316766884,-0.884498742475432,0.15722601520270474,1.0417247576781368,True,,0.031729350543834946,,0,11,0,0.0,1.0,0.0
rnbqkbnr/ppp3pp/8/3pppN1/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 0 4,96,51,11,34,0.53125,0.11458333333333333,0.3541666666666667,0.17708333333333331,0.8540581597222223,1.373283575220447,-0.007782306249702858,0.3619489729163695,0.3697312791660724,True,1.500724131191099,0.013935666269389912,0.021153326229491752,74,96,74,0.7708333333333334,1.0,0.7708333333333334
rnb1kbnr/ppp2Npp/8/3ppp2/4P2q/8/PPPP1PPP/RNBQKB1R w KQkq - 2 5,44,24,7,13,0.5454545454545454,0.1590909090909091,0.29545454545454547,0.24999999999999994,0.7784090909090908,1.418606600283998,-0.010690798577950578,0.5106907985779505,0.521381597155901,True,0.04903230112459925,0.011674080530858853,0.0005444264770095548,9,44,9,0.20454545454545456,1.0,0.20454545454545456
rnb1kbnr/ppp2Npp/8/3ppp1q/4P3/6P1/PPPP1P1P/RNBQKB1R w KQkq - 1 6,39,20,7,12,0.5128205128205128,0.1794871794871795,0.3076923076923077,0.20512820512820507,0.7784352399737016,1.4620792352518803,-0.0717743936380224,0.48203080389443254,0.5538051975324549,True,0.6372222542762757,0.022674645225589093,0.014239465720232802,5,39,5,0.1282051282051282,1.0,0.1282051282051282
rnbqkb1r/p1p3pp/4p2n/1p1p4/3PP1P1/2N5/PPP2P1P/R1BQKB1R w KQkq - 0 7,12,7,1,4,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.25000000000000006,0.8541666666666667,1.280672129520887,-0.27291220391266163,0.7729122039126617,1.0458244078253234,True,1.431115210056305,0.015308577877779802,0.021609150974721825,2,12,2,0.16666666666666666,1.0,0.16666666666666666
rnbqkbnr/ppp3pp/8/3p1pN1/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 5,15,9,2,4,0.6,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.7555555555555555,1.3382689280764646,-0.10654813201942431,0.7732147986860909,0.8797629307055153,True,1.614333176612854,0.0054087366287906965,0.008922299750970015,15,15,15,1.0,1.0,1.0
rnbqkb1r/ppp1p1pp/5p2/3p4/3PP3/2N5/PPP2P1P/R1BQKB1R b KQkq - 0 5,38,18,4,16,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.05263157894736842,0.89196675900277,1.3779630390761746,-0.2476513391454626,0.35291449704019945,0.6005658361856621,True,1.1363842487335205,0.0205805756543812,0.02137228708909733,2,38,2,0.05263157894736842,1.0,0.05263157894736842
rn1qkb1r/ppp1p1pp/5p2/3p4/3PP1b1/2N2P2/PPP4P/R1BQKB1R b KQkq - 0 6,33,16,4,13,0.48484848484848486,0.12121212121212122,0.3939393939393939,0.09090909090909094,0.8705234159779615,1.4048269576665082,-0.22742368022777526,0.40924186204595714,0.6366655422737324,True,2.033482789993286,0.02167207956539862,0.042177070353568435,1,33,1,0.030303030303030304,1.0,0.030303030303030304
rnbqkb1r/pppp1ppp/7n/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 1 3,17,11,2,4,0.6470588235294118,0.11764705882352941,0.23529411764705882,0.411764705882353,0.7128027681660899,1.2607717938967942,0.01042851988928839,0.8131008918754176,0.8026723719861292,False,0.6006245613098145,0.004994616569841609,0.002651943624566666,1,17,1,0.058823529411764705,1.0,0.058823529411764705
rnbqk1nr/ppp3pp/8/3pppN1/1b1PP3/2P5/PP3PPP/RNBQKB1R b KQkq - 0 5,43,19,10,14,0.4418604651162791,0.23255813953488372,0.32558139534883723,0.11627906976744184,0.7539210383991347,1.5371281823042329,-0.1432444929511833,0.375802632486067,0.5190471254372503,True,1.2658300399780273,0.011442077995906042,0.014571276526452267,30,43,30,0.6976744186046512,1.0,0.6976744186046512
rnbqkb1r/p1p1p1pp/5p2/1p1p4/3PP3/2N5/PPP2P1P/R1BQKB1R w KQkq - 0 6,13,7,1,5,0.5384615384615384,0.07692307692307693,0.38461538461538464,0.1538461538461538,0.8994082840236687,1.2957378005380122,-0.3616849305011575,0.6693772381934651,1.0310621686946226,True,2.301602602005005,0.019925644907813806,0.042765385946886614,2,13,2,0.15384615384615385,1.0,0.15384615384615385
rnbqkbnr/ppp3pp/4N3/3ppp2/3P4/8/PPP1PPPP/RNBQKB1R b KQkq - 1 4,10,4,1,5,0.4,0.1,0.5,-0.09999999999999998,0.89,1.360964047443681,-0.6847134640503647,0.48471346405036475,1.1694269281007295,True,0.034666014170008044,0.0359807301312685,0.0013394129429601753,7,10,7,0.7,1.0,0.7
rnbqkbnr/ppp1p1pp/5p2/3p4/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 3,40,22,4,14,0.55,0.1,0.35,0.20000000000000007,0.86,1.3366664819166874,-0.0873871337497969,0.48738713374979703,0.5747742674995939,True,1.8566796346144243,0.014512439910322427,0.02661014414713425,11,40,11,0.275,1.0,0.275
rnbqkb1r/ppp1p1pp/5p2/1N1p4/3P4/8/PPP1PP1P/R1BQKB1R b KQkq - 1 5,12,7,2,3,0.5833333333333334,0.16666666666666666,0.25,0.33333333333333337,0.7222222222222222,1.384431504340598,-0.1474981449464679,0.8141648116131346,0.9616629565596024,True,,0.02012085821479559,,0,12,0,0.0,1.0,0.0
rn1qkb1r/ppp1p1pp/5p2/1N1p4/3P2b1/5P2/PPP1P2P/R1BQKB1R b KQkq - 0 6,18,10,4,4,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.33333333333333337,0.6666666666666666,1.4355205042826666,-0.04386191135872386,0.7105285780253906,0.7543904893841145,True,1.7299360036849976,0.018411941153721675,0.03504349386557193,1,18,1,0.05555555555555555,1.0,0.05555555555555555
rnbqkb1r/pp1pp1pp/5p2/8/4P3/8/PPPP1P1P/R1BQKB1R w KQkq - 0 6,10,9,0,1,0.9,0.0,0.1,0.8,0.3599999999999999,0.4689955935892812,0.4281229806172631,1.171877019382737,0.743754038765474,False,,0.015491837495937943,,0,10,0,0.0,1.0,0.0
rnbqkb1r/pp1pp2p/5pp1/7Q/4P3/8/PPPP1P1P/R1B1KB1R w KQkq - 0 7,10,9,0,1,0.9,0.0,0.1,0.8,0.3599999999999999,0.4689955935892812,0.4281229806172631,1.171877019382737,0.743754038765474,False,1.4606502737317766,0.037730290181934835,0.05841641624096055,7,10,7,0.7,1.0,0.7
rnbqk1nr/ppp3pp/8/1B1p1pN1/1b2P3/2P5/PP3PPP/RNBQK2R b KQkq - 1 6,13,4,2,7,0.3076923076923077,0.15384615384615385,0.5384615384615384,-0.23076923076923073,0.7928994082840237,1.419556298571613,-0.7148139224340695,0.2532754608956081,0.9680893833296775,True,,0.011377098002972512,,0,13,0,0.0,1.0,0.0
rnbqk1nr/ppp2Npp/8/3p1p2/1b2P3/2P5/PP3PPP/RNBQKB1R b KQkq - 1 6,15,8,3,4,0.5333333333333333,0.2,0.26666666666666666,0.26666666666666666,0.7288888888888889,1.456564762130954,-0.16538245488690256,0.698715788220236,0.8640982431071385,True,0.5185251642357219,0.012985281397898991,0.006916513411956401,11,15,11,0.7333333333333333,1.0,0.7333333333333333
rnb1k1nr/ppp2Npp/8/3p1p2/1b2P2q/2P3P1/PP3P1P/RNBQKB1R b KQkq - 0 7,13,8,3,2,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.5562130177514792,1.3346791410515946,0.05612609756375131,0.8669508255131718,0.8108247279494205,False,1.097872535387675,0.02359639867567099,0.025537659010349895,12,13,12,0.9230769230769231,1.0,0.9230769230769231
rnb1k1nr/ppp2Npp/8/3p1p2/1b2P3/2P3P1/PP3P1P/RNB1KB1R b KQkq - 0 8,11,7,3,1,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.42975206611570255,1.2406705316766884,0.15805354753358797,0.9328555433755028,0.7748019958419148,False,,0.041047816249457275,,0,11,0,0.0,1.0,0.0
rnbqkb1r/ppp3pp/5p1n/3pp1N1/3P2P1/2N5/PPP1PP1P/R1BQKB1R b KQkq - 1 5,21,7,2,12,0.3333333333333333,0.09523809523809523,0.5714285714285714,-0.23809523809523808,0.8480725623582765,1.3127443531093745,-0.631967094538535,0.15577661834805878,0.7877437128865937,True,1.4017120838165282,0.029758114456420855,0.040887181669135055,10,21,10,0.47619047619047616,1.0,0.47619047619047616
rnbqk1nr/ppp3pp/8/3pppN1/1b1PP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,16,9,0,7,0.5625,0.0,0.4375,0.125,0.984375,0.9886994082884974,-0.3611478701627713,0.6111478701627713,0.9722957403255426,True,,0.020818727905862033,,0,16,0,0.0,1.0,0.0
rnbqkb1r/pp1p2pp/2p1pp1n/8/3N4/2N1P3/PPPP1PPP/R1BQKB1R w KQkq - 2 5,11,8,0,3,0.7272727272727273,0.0,0.2727272727272727,0.4545454545454546,0.7933884297520661,0.8453509366224364,-0.07182884899526343,0.9809197580861726,1.052748607081436,True,1.5665304395887587,0.0076378829438577996,0.012009813639913899,9,11,9,0.8181818181818182,1.0,0.8181818181818182
rnbqk1nr/ppp3pp/8/3p1pN1/1b2P3/2P5/PP3PPP/RNBQKB1R w KQkq - 0 6,15,7,1,7,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.0,0.9333333333333333,1.2866926683547546,-0.4889009147043454,0.4889009147043454,0.9778018294086908,True,1.7531645848200872,0.00442447611130774,0.007716587080052212,13,15,13,0.8666666666666667,1.0,0.8666666666666667
rnbqkb1r/pppp2pp/4pp1n/1N6/8/5N2/PPPPPPPP/R1BQKB1R w KQkq - 2 4,11,7,0,4,0.6363636363636364,0.0,0.36363636363636365,0.2727272727272727,0.9256198347107438,0.9456603046006401,-0.295821955864798,0.8412765013193434,1.1370984571841414,True,,0.008251565720208666,,0,11,0,0.0,1.0,0.0
rnbqkb1r/p1p1p1pp/5p2/1p6/3P4/2N5/PPP2P1P/R1BQKB1R b KQkq - 0 6,12,5,0,7,0.4166666666666667,0.0,0.5833333333333334,-0.16666666666666669,0.9722222222222222,0.9798687566511528,-0.7245459570176649,0.39121262368433146,1.1157585807019963,True,,0.024650617347409327,,0,12,0,0.0,1.0,0.0
rn1qkb1r/p1p1p1pp/5p2/1p6/3P2b1/2N2P2/PPP4P/R1BQKB1R b KQkq - 0 7,12,6,0,6,0.5,0.0,0.5,0.0,1.0,1.0,-0.5657928670380858,0.5657928670380858,1.1315857340761717,True,,0.02137989333520333,,0,12,0,0.0,1.0,0.0
rnb1kbnr/ppp2Npp/8/3ppp2/4P3/6P1/PPPP1P1P/RNB1KB1R b KQkq - 0 6,23,13,1,9,0.5652173913043478,0.043478260869565216,0.391304347826087,0.1739130434782608,0.9262759924385634,1.191603636543317,-0.21941451564143472,0.5672406025979564,0.786655118239391,True,1.6153419017791748,0.026565337310666622,0.04934221303730446,1,23,1,0.043478260869565216,1.0,0.043478260869565216
rnbqk1nr/ppp2ppp/8/3pp3/1b1PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,14,8,2,4,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.7755102040816326,1.3787834934861753,-0.17557974153078687,0.7470083129593583,0.9225880544901452,True,,0.008419773142252649,,0,14,0,0.0,1.0,0.0
rn1qkbnr/ppp3pp/8/3ppp2/3PP3/8/PPP2PPP/RNBQKB1R b KQkq - 0 5,13,9,1,3,0.6923076923076923,0.07692307692307693,0.23076923076923078,0.4615384615384615,0.7100591715976332,1.1401156785146092,0.003477072643874757,0.9195998504330483,0.9161227777891735,False,2.2808832100459506,0.017093856030931838,0.03577814488151106,7,13,7,0.5384615384615384,1.0,0.5384615384615384
rnbqkb1r/pppp2pp/7n/4ppN1/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 0 4,15,10,2,3,0.6666666666666666,0.13333333333333333,0.2,0.4666666666666666,0.648888888888889,1.2419460322060458,0.05901649426614436,0.8743168390671889,0.8153003448010445,False,0.5918159633874893,0.010153616157670816,0.00609871213544684,4,15,4,0.26666666666666666,1.0,0.26666666666666666
rnb1kb1r/pppp1Npp/7n/4pp2/4P2q/8/PPPP1PPP/RNBQKB1R w KQkq - 2 5,13,8,2,3,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.698224852071006,1.3346791410515946,-0.06961278719122016,0.8388435564219894,0.9084563436132096,True,0.06942791491746902,0.008308912842319561,0.0007684823790164788,1,13,1,0.07692307692307693,1.0,0.07692307692307693
rn1qkb1r/p1p1p1pp/5p2/1p1p4/3PP3/2N5/PPP4P/R1BQKB1R b KQkq - 0 7,14,6,2,6,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.8571428571428571,1.4488156357251847,-0.4849653146040736,0.4849653146040736,0.9699306292081472,True,,0.021964209420340403,,0,14,0,0.0,1.0,0.0
rnbqkb1r/p1p1p1pp/7n/1p1p2B1/3P2P1/2N5/PPP1PP1P/R2QKB1R b KQkq - 1 6,14,14,0,0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,1.0,0.0,False,,0.027035360224545002,,0,14,0,0.0,1.0,0.0
rnbqkbnr/ppp3pp/4N3/3ppp2/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 1 4,16,10,0,6,0.625,0.0,0.375,0.25,0.9375,0.954434002924965,-0.22443174195562254,0.7244317419556225,0.9488634839112451,True,0.011400706636217924,0.017904022126458585,0.00020042947394033326,13,16,13,0.8125,1.0,0.8125
rnbqkb1r/1pp2Npp/p3pp1n/3p4/3P2P1/2N5/PPP1PP1P/R1BQKB1R b KQkq - 1 6,13,9,2,2,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.5384615384615384,0.5562130177514792,1.198183947911799,0.13304917448682818,0.9438739024362487,0.8108247279494205,False,0.8894751667976379,0.022175075916143563,0.018700282741281438,1,13,1,0.07692307692307693,1.0,0.07692307692307693
rnb1kb1r/ppp2Npp/7n/3ppp2/4P3/6P1/PPPP1P1P/RNB1KB1R w KQkq - 1 7,19,8,3,8,0.42105263157894735,0.15789473684210525,0.42105263157894735,0.0,0.8421052631578947,1.4713544870139295,-0.4126239967452745,0.4126239967452745,0.825247993490549,True,,0.020529445113712234,,0,19,0,0.0,1.0,0.0
rnbqkb1r/p1p3pp/4p2n/1p1p2B1/3P2P1/2N5/PPP1PP1P/R2QKB1R w KQkq - 0 7,23,23,0,0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,1.0,0.0,False,0.20705778896808624,0.01439866771840531,0.0028602919470184646,2,23,2,0.08695652173913043,1.0,0.08695652173913043
rnbqkb1r/p1p2Npp/4pp1n/1p1p4/3P2P1/2N5/PPP1PP1P/R1BQKB1R b KQkq - 1 6,11,6,0,5,0.5454545454545454,0.0,0.45454545454545453,0.09090909090909088,0.9917355371900827,0.9940302114769565,-0.497595271253986,0.6794134530721678,1.1770087243261538,True,,0.031590353528207,,0,11,0,0.0,1.0,0.0
rnbqkb1r/p1p3pp/4pp1n/1p1pN3/3P2P1/2N5/PPP1PP1P/R1BQKB1R w KQkq - 0 6,11,7,0,4,0.6363636363636364,0.0,0.36363636363636365,0.2727272727272727,0.9256198347107438,0.9456603046006401,-0.295821955864798,0.8412765013193434,1.1370984571841414,True,0.6260685920715332,0.021399072202091866,0.012474222805691187,2,11,2,0.18181818181818182,1.0,0.18181818181818182
rn1qkbnr/ppp3pp/8/3ppp2/4P3/8/PPPP1PPP/RNBQKB1R w KQkq - 0 5,11,4,1,6,0.36363636363636365,0.09090909090909091,0.5454545454545454,-0.18181818181818177,0.8760330578512396,1.3221793455166666,-0.7349288001563131,0.3712924365199496,1.1062212366762627,True,,0.008028281556273048,,0,11,0,0.0,1.0,0.0
