fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean,H_count,U_count,HU_count,H_fraction,U_fraction,HU_fraction
r1bq1k1r/1pNp3p/2nbpppn/p7/1P3PP1/4P3/P1PP3P/R1BQKB1R w KQ - 0 11,17,12,3,2,0.7058823529411765,0.17647058823529413,0.11764705882352941,0.5882352941176471,0.4775086505190312,1.1595547523787308,0.25975127019830935,0.9167193180369848,0.6569680478386755,False,0.9348115921020508,0.008029576281414312,0.00897230335487098,1,17,1,0.058823529411764705,1.0,0.058823529411764705
rnbqkbnr/pppp2pp/4pp2/1N6/8/5N2/PPPPPPPP/R1BQKB1R b KQkq - 1 3,62,31,7,24,0.5,0.11290322580645161,0.3870967741935484,0.11290322580645162,0.8743496357960457,1.3853145346819704,-0.1198495199519069,0.34565597156481015,0.46550549151671705,True,1.0992832978566487,0.01778031756440478,0.02134348914923871,3,62,3,0.04838709677419355,1.0,0.04838709677419355
rnbqk1nr/pppp2pp/4pp2/1N6/1b6/2P2N2/PP1PPPPP/R1BQKB1R b KQkq - 0 4,33,19,4,10,0.5757575757575758,0.12121212121212122,0.30303030303030304,0.27272727272727276,0.8044077134986227,1.3495485525614308,-0.03327822863215152,0.578732774086697,0.6120110027188486,True,0.5856116265058517,0.032020781697197395,0.019050022474182953,6,33,6,0.18181818181818182,1.0,0.18181818181818182
rnbqk1nr/ppNp2pp/2p1pp2/8/1b6/2P2N2/PP1PPPPP/R1BQKB1R b KQkq - 1 5,32,18,4,10,0.5625,0.125,0.3125,0.25,0.8125,1.3663146570363986,-0.06230920634715009,0.5623092063471501,0.6246184126943002,True,,0.03511565155349672,,0,32,0,0.0,1.0,0.0
rnbqNknr/pp1p2pp/2p1pp2/8/1b6/2P2N2/PP1PPPPP/R1BQKB1R b KQ - 3 6,14,8,1,5,0.5714285714285714,0.07142857142857142,0.35714285714285715,0.21428571428571425,0.8826530612244898,1.2638091738835462,-0.2778434345340913,0.7064148631055198,0.9842582976396111,True,,0.031148684876305715,,0,14,0,0.0,1.0,0.0
rnbqNknr/pp1p3p/2p1ppp1/8/1b1P4/2P2N2/PP2PPPP/R1BQKB1R b KQ - 0 7,13,8,1,4,0.6153846153846154,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.8284023668639053,1.2389012566026305,-0.18707053987075534,0.8024551552553707,0.989525695126126,True,,0.028860150621487543,,0,13,0,0.0,1.0,0.0
r1bq1k1r/1pNp3p/2nbpppn/8/5PP1/P3P3/2PP3P/R1BQKB1R w KQ - 0 12,14,10,2,2,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5306122448979593,1.1488348542809166,0.18985990240446649,0.9529972404526763,0.7631373380482098,False,,0.009386664406130356,,0,14,0,0.0,1.0,0.0
rnbqkb1r/pp1pp2p/2p2ppB/8/3PP3/2N5/PPP2P1P/R2QKB1R b KQkq - 1 6,14,7,4,3,0.5,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.6326530612244898,1.4926140680171256,-0.1309313913029369,0.7023599627315082,0.8332913540344451,True,,0.0605602426720517,,0,14,0,0.0,1.0,0.0
rnbqkbnr/ppp2Npp/8/3p1p2/4P3/8/PPP2PPP/RNBQKB1R b KQkq - 1 5,21,8,3,10,0.38095238095238093,0.14285714285714285,0.47619047619047616,-0.09523809523809523,0.8480725623582765,1.4411665441579464,-0.4891099516813921,0.29863376120520163,0.7877437128865937,True,0.11185630535085996,0.01638175786605903,0.0018865640475373147,12,21,12,0.5714285714285714,1.0,0.5714285714285714
rnb1kbnr/ppp2Npp/8/3p1p2/4P2q/6P1/PPP2P1P/RNBQKB1R b KQkq - 0 6,21,8,3,10,0.38095238095238093,0.14285714285714285,0.47619047619047616,-0.09523809523809523,0.8480725623582765,1.4411665441579464,-0.4891099516813921,0.29863376120520163,0.7877437128865937,True,1.1022391193791439,0.01598636198434092,0.01797580252264291,19,21,19,0.9047619047619048,1.0,0.9047619047619048
