x,y,n_pairs,coverage,pearson,spearman
result_entropy,U_mean,540,1.0,-0.026900983856706504,0.0125927788561249
result_entropy,H_mean,335,0.6203703703703703,0.0024372263836846537,-0.0005076815766277781
result_entropy,HU_mean,335,0.6203703703703703,-0.05218920286661688,0.05591902695044991
abs_mean_reward,U_mean,540,1.0,0.07035802019034271,0.029920793056484932
abs_mean_reward,H_mean,335,0.6203703703703703,-0.158421899758873,-0.16920101663703802
abs_mean_reward,HU_mean,335,0.6203703703703703,-0.11445463938703304,-0.1433217776427614
