min_n,positions,mean_n,median_n,mean_entropy,median_entropy,mean_abs_reward,median_abs_reward,mean_ci_width,median_ci_width,fraction_ci_contains_zero
5,1183,29.3541842772612,9.0,1.1630083031620686,1.2645722418199652,0.3213431468688012,0.27777777777777785,1.0041614224929787,1.0368994581242745,0.7134404057480981
10,540,56.68333333333333,19.0,1.257924679072851,1.3084964624994724,0.2875031861547585,0.2558647026732134,0.7261384253408096,0.7460631567129463,0.6277777777777778
20,264,101.73106060606061,38.0,1.3043987351464974,1.3227027791412698,0.2680508060755357,0.23904761904761904,0.5264662937727367,0.5428569575749896,0.5113636363636364
50,100,218.7,89.5,1.3314868209820332,1.3499793975574046,0.23649088104293836,0.2279630052523407,0.3571204975531411,0.37669478080028707,0.32
100,43,420.30232558139534,162.0,1.3416638988168281,1.3404281649750105,0.23187600608148765,0.22284345047923326,0.2514426186790005,0.2807636562558623,0.16279069767441862
200,17,858.7058823529412,421.0,1.3345854292131865,1.3404281649750105,0.2298322078848721,0.25433333333333336,0.165028853779559,0.17262640082626568,0.058823529411764705
