fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean
rn1qkb1r/ppp1p1pp/5p1n/1N1p4/8/7B/PPPPPP1P/R1BQK2R b KQkq - 1 5,12,8,1,3,0.6666666666666666,0.08333333333333333,0.25,0.41666666666666663,0.7430555555555556,1.188721875540867,-0.07105057707833562,0.9043839104116689,0.9754344874900045,True,,0.002828947559464723,
rn1qkb1r/ppp1p1pp/5p2/1N1p4/8/8/PPPPPP1P/R1BQK2R b KQkq - 0 6,12,8,1,3,0.6666666666666666,0.08333333333333333,0.25,0.41666666666666663,0.7430555555555556,1.188721875540867,-0.07105057707833562,0.9043839104116689,0.9754344874900045,True,,0.0024837065138854086,
2kr3r/p3p2p/5npb/1p1p4/8/4P2P/PPPPB1P1/R1B2RK1 w - - 4 13,12,5,2,5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0,0.8333333333333334,1.4833557549816874,-0.5164958602538013,0.5164958602538013,1.0329917205076027,True,,0.004038864785494904,
rnbqkbnr/pp1p2pp/4pp2/1B6/4P3/5N2/PPPP1PPP/R1BQK2R b KQkq - 1 5,12,8,0,4,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.9182958340544896,-0.20010129737281218,0.8667679640394788,1.066869261412291,True,,0.0043432760673264665,
rnb1kbnr/pp1p2pp/4p3/1N3p2/7q/4P3/PPPP1PPP/R1BQKB1R w KQkq - 2 7,12,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.584962500721156,-0.4619679414498926,0.4619679414498926,0.9239358828997852,True,,0.005008433246985078,
rnb1kbnr/pp1p2pp/4p3/1N3p2/2q5/4P1P1/PPPP1P1P/R1BQKB1R w KQkq - 1 8,12,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.584962500721156,-0.4619679414498926,0.4619679414498926,0.9239358828997852,True,,0.0085626437018315,
rnb1kbnr/pp1p2pp/4p3/1N3p2/8/3PP1P1/PP3P1P/R3KB1R w KQkq - 0 9,12,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.584962500721156,-0.4619679414498926,0.4619679414498926,0.9239358828997852,True,,0.0076660783573364215,
rnbk1bnr/ppNp2pp/4p3/5p2/8/3PP1P1/PP3P1P/R3KB1R w KQ - 2 10,12,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.584962500721156,-0.4619679414498926,0.4619679414498926,0.9239358828997852,True,,0.008337125647813082,
rnbk1b1r/ppNp2pp/4pn2/5p2/1P6/3PP1P1/P4P1P/R3KB1R w KQ - 1 11,12,4,4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.584962500721156,-0.4619679414498926,0.4619679414498926,0.9239358828997852,True,,0.008111834215621153,
rnbqk1nr/pp1p3p/3bppp1/1N6/8/4P3/PPPP1PPP/R1BQKB1R w KQkq - 2 7,11,9,0,2,0.8181818181818182,0.0,0.18181818181818182,0.6363636363636365,0.5950413223140494,0.6840384356390417,0.18051011759803354,1.0922171551292394,0.911707037531206,False,,0.006005560344254429,
rnbq1knr/ppNp3p/3bppp1/8/8/4P3/PPPP1PPP/R1BQKB1R w KQ - 4 8,11,9,0,2,0.8181818181818182,0.0,0.18181818181818182,0.6363636363636365,0.5950413223140494,0.6840384356390417,0.18051011759803354,1.0922171551292394,0.911707037531206,False,,0.003927045290104367,
r1bqkbnr/pp1p2pp/2n1pp2/1B6/8/4PN2/PPPP1PPP/R1BQK2R w KQkq - 2 6,22,10,2,10,0.45454545454545453,0.09090909090909091,0.45454545454545453,0.0,0.9090909090909091,1.3485878960124222,-0.39841933662571893,0.39841933662571893,0.7968386732514379,True,,0.005695842206478119,
r1bqk1nr/pp1p2pp/2n1pp2/1B6/1b1P4/4PN2/PPP2PPP/R1BQK2R w KQkq - 1 7,19,9,2,8,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.05263157894736842,0.89196675900277,1.3779630390761746,-0.3720325963684824,0.47729575426321924,0.8493283506317016,True,,0.00479103999800588,
rn1qkb1r/ppp1p1pp/5p2/1N1p4/4P1b1/8/PPPP1P1P/R1BQKB1R w KQkq - 2 6,16,8,2,6,0.5,0.125,0.375,0.125,0.859375,1.4056390622295665,-0.329233810528373,0.579233810528373,0.9084676210567459,True,,0.004765232326462865,
r2qkb1r/ppp1p1pp/n4p2/1N1p4/4P1b1/5P2/PPPP3P/R1BQKB1R w KQkq - 1 7,16,8,2,6,0.5,0.125,0.375,0.125,0.859375,1.4056390622295665,-0.329233810528373,0.579233810528373,0.9084676210567459,True,,0.005454890604596585,
r3kb1r/pp2p1pp/5p2/3p4/1n2P1b1/5P2/PPPP3P/R1BQKB1R w KQkq - 1 8,10,4,1,5,0.4,0.1,0.5,-0.09999999999999998,0.89,1.360964047443681,-0.6847134640503647,0.48471346405036475,1.1694269281007295,True,,0.007951252534985543,
r2k1b1r/pp2p1pp/5p2/1B1p4/1n2P1b1/5P2/PPPP3P/R1BQK2R w KQ - 3 9,10,4,1,5,0.4,0.1,0.5,-0.09999999999999998,0.89,1.360964047443681,-0.6847134640503647,0.48471346405036475,1.1694269281007295,True,,0.007317073782905937,
rnbqkbnr/pp1p2pp/4p3/5p2/3N4/4P3/PPPP1PPP/R1BQKB1R w KQkq - 0 6,10,3,3,4,0.3,0.3,0.4,-0.10000000000000003,0.69,1.5709505944546684,-0.614840420545915,0.4148404205459149,1.02968084109183,True,,0.007928470335900783,
rnbqkb1r/pp1pp2p/2p2pp1/8/3PP3/2N5/PPP2P1P/R1BQKB1R w KQkq - 0 6,11,6,1,4,0.5454545454545454,0.09090909090909091,0.36363636363636365,0.18181818181818177,0.8760330578512396,1.3221793455166666,-0.3712924365199496,0.7349288001563131,1.1062212366762627,True,,0.00961787270551378,
r3kb1r/p3p2p/4b1p1/3p4/6n1/2N1PP2/PPPP2PP/R1B1K2R b KQkq - 0 9,23,15,4,4,0.6521739130434783,0.17391304347826086,0.17391304347826086,0.4782608695652174,0.5973534971644612,1.2799376545731964,0.16239705323355136,0.7941246858968835,0.6317276326633321,False,,0.004884266476754261,
rnbqkbnr/pp1p3p/4p1p1/5p2/8/2NBP3/PPPP1PPP/R1BQK2R w KQkq - 0 7,11,6,2,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.743801652892562,1.4353713907745331,-0.23693245514390948,0.7823870005984549,1.0193194557423644,True,,0.01335699949413538,
r3kb1r/p3p2p/4b1p1/1N1p4/8/4PP2/PPPP2P1/R1B1K3 b Qkq - 1 10,21,14,4,3,0.6666666666666666,0.19047619047619047,0.14285714285714285,0.5238095238095237,0.5351473922902495,1.2467052127325733,0.21093143478040027,0.8366876128386471,0.6257561780582468,False,,0.006378940905311278,
rnbqkb1r/ppppp1pp/5p2/8/6n1/2N2N1P/PPPPPPP1/R1BQKB1R w KQkq - 1 4,15,7,1,7,0.4666666666666667,0.06666666666666667,0.4666666666666667,0.0,0.9333333333333333,1.2866926683547546,-0.4889009147043454,0.4889009147043454,0.9778018294086908,True,,0.003606656938791275,
rnbqkb1r/pp1pp1pp/2p2p2/8/8/2N5/PPPPPPP1/R1BQKB1R w KQkq - 0 5,14,7,1,6,0.5,0.07142857142857142,0.42857142857142855,0.07142857142857145,0.9234693877551021,1.2958363892911637,-0.4319506966354117,0.5748078394925547,1.0067585361279663,True,,0.0047651134497885194,
r1bqk2r/pp1p2pp/2n1pp1n/1B6/1b1P4/2P1PN2/PP3PPP/R1BQK2R w KQkq - 1 8,12,4,2,6,0.3333333333333333,0.16666666666666666,0.5,-0.16666666666666669,0.8055555555555555,1.4591479170272448,-0.6744813059502053,0.34114797261687196,1.0156292785670773,True,0.8621006011962891,0.005869251287852724,0.004972698363001626
rnbqkb1r/ppppp1pp/5p1n/8/3N4/4P3/PPPP1PPP/RNBQKB1R b KQkq - 0 3,12,6,2,4,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666669,0.8055555555555555,1.4591479170272446,-0.34114797261687196,0.6744813059502053,1.0156292785670773,True,,0.0011165714046607416,
rnbqkb1r/ppppp1pp/5p2/8/3N1Pn1/4P3/PPPP2PP/RNBQKB1R b KQkq - 0 4,11,5,2,4,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.09090909090909088,0.8099173553719008,1.4949188482339508,-0.44092001431744593,0.6227381961356278,1.0636582104530736,True,,0.0011190105737610297,
